Species,Group,P50,Ks,paper,url,Ks_mol,relatedStudies,originalSpecies
Pinus sylvestris,Gymnosperm,-3.33,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Pinus sylvestris 
Betula pendula,Angiosperm,-1.59,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Betula pendula 
Betula pendula,Angiosperm,-1.66,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Betula pendula 
Betula pendula,Angiosperm,-1.62,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Betula pendula 
Betula pendula,Angiosperm,-1.89,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Betula pendula 
Robinia pseudoacacia,Angiosperm,-4.2,,Peng et al. 2019 JExBot,https://academic.oup.com/jxb/article/70/18/4865/5485864,,,Robinia pseudoacacia 
Eucalyptus cladocalyx,Angiosperm,-5.27,,Bourne et al. 2017 AnnBot,https://academic.oup.com/aob/article/120/1/123/3091124,,,Eucalyptus cladocalyx 
Eucalyptus crebra,Angiosperm,-4.9,,Bourne et al. 2017 AnnBot,https://academic.oup.com/aob/article/120/1/123/3091125,,,Eucalyptus crebra 
Eucalyptus tereticornis,Angiosperm,-3.89,,Bourne et al. 2017 AnnBot,https://academic.oup.com/aob/article/120/1/123/3091126,,,Eucalyptus tereticornis 
Eucalyptus saligna,Angiosperm,-3.4,,Bourne et al. 2017 AnnBot,https://academic.oup.com/aob/article/120/1/123/3091127,,,Eucalyptus saligna 
Eucalyptus dunnii,Angiosperm,-4.93,,Bourne et al. 2017 AnnBot,https://academic.oup.com/aob/article/120/1/123/3091128,,,Eucalyptus dunnii 
Eucalyptus grandis,Angiosperm,-3.83,,Bourne et al. 2017 AnnBot,https://academic.oup.com/aob/article/120/1/123/3091129,,,Eucalyptus grandis 
Pinus pinea,Gymnosperm,-3.23,,Battipaglia et al. 2016 Tree Phys,https://academic.oup.com/treephys/article/36/8/1019/2514649,,,Pinus pinea
Eucalyptus piperita,Angiosperm,-3.25,,Li et al. 2018 Tree Phys,https://academic.oup.com/treephys/article/38/8/1193/4995032,,,Eucalyptus piperita
Quercus ilex,Angiosperm,-7.13,,Lobo et al. 2018 FEM,https://www.sciencedirect.com/science/article/pii/S0378112717320327,,,Quercus ilex
Quercus palustris,Angiosperm,-5.74,,Lobo et al. 2018 FEM,https://www.sciencedirect.com/science/article/pii/S0378112717320327,,,Quercus palustris
Quercus petraea,Angiosperm,-4.61,,Lobo et al. 2018 FEM,https://www.sciencedirect.com/science/article/pii/S0378112717320327,,,Quercus petraea
Quercus robur,Angiosperm,-4.74,,Lobo et al. 2018 FEM,https://www.sciencedirect.com/science/article/pii/S0378112717320327,,,Quercus robur
Quercus rubra,Angiosperm,-4.43,,Lobo et al. 2018 FEM,https://www.sciencedirect.com/science/article/pii/S0378112717320327,,,Quercus rubra
Quercus suber,Angiosperm,-5.52,,Lobo et al. 2018 FEM,https://www.sciencedirect.com/science/article/pii/S0378112717320327,,,Quercus suber
Fraxinus chinensis,Angiosperm,-4.3,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445900,,,Fraxinus chinensis
Ailanthus altissima,Angiosperm,-3.5,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445901,,,Ailanthus altissima
Robinia pseudoacacia,Angiosperm,-2.1,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445902,,,Robinia pseudoacacia 
Clerodendrum trichotomum,Angiosperm,-2.25,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445903,,,Clerodendrum trichotomum
Juglans regia,Angiosperm,-2.3,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445904,,,Juglans regia
Zanthoxylum bungeanum,Angiosperm,-3.6,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445905,,,Zanthoxylu bungeanum
Pistacia chinensis,Angiosperm,-4.1,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445906,,,Pistacia chinensis
Cotinus coggygria,Angiosperm,-3.75,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445907,,,Cotinus coggygria
Rhus typhina,Angiosperm,-2.4,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445908,,,Rhus typhina
Diospyros lotus,Angiosperm,-4.1,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445909,,,Diospyros lotus
Melia azedarach,Angiosperm,-3.25,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445910,,,Melia azedarach
Koelreuteria paniculata,Angiosperm,-2.6,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445911,,,Koelreuteria paniculata
Morus alba,Angiosperm,-1.6,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445912,,,Moras alba
Amygdalus davidiana,Angiosperm,-3.25,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445913,,,Amygdalus davidiana
Diospyros kaki,Angiosperm,-5.4,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445914,,,Diospyros kaki
Armeniaca sibirica,Angiosperm,-5.05,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445915,,,Armeniaca sibirica
Xanthoceras sorbifolium,Angiosperm,-1,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445916,,,Xanthoceras sorbifolium
Acer mono,Angiosperm,-3,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445917,,,Acer mono
Toona sinensis,Angiosperm,-2.35,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445918,,,Toona sinensis
Gleditsia sinensis,Angiosperm,-4.3,,Chen et al. 2019 Tree Phys,https://academic.oup.com/treephys/article/39/8/1428/5445919,,,Gleditsia sinensis
Amborella trichopoda,Angiosperm,-2.68,0.437,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421717,,,Amborella trichopoda
Ascarina rubricaulis,Angiosperm,-2.28,0.89,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421718,,,Ascarina rubricaulis
Hedycarya cupulata,Angiosperm,-3.09,0.104,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421719,,,Hedycarya cupulata
Hedycarya parvifolia,Angiosperm,-3.23,0.233,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421720,,,Hedycarya parvifolia
Kibaropsis caledonica,Angiosperm,-2.49,0.257,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421721,,,Kibaropsis caledonica
Nemuaron vieillardii,Angiosperm,-2.3,0.791,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421722,,,Nemuaron viellardii
Paracryphia alticola,Angiosperm,-2.02,0.161,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421723,,,Paracryphia alticola
Quintinia major,Angiosperm,-2.47,0.135,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421724,,,Quintinia major
Zygogynum acsmithii,Angiosperm,-2.73,0.566,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421725,,,Zygogynum acsmithii
Zygogynum crassifolium,Angiosperm,-4.11,0.615,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421726,,,Zygogynum crassifolium
Zygogynum stipitatum,Angiosperm,-2.44,0.325,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421727,,,Zygogynum stipitatum
Zygogynum thieghemii,Angiosperm,-2.29,0.658,Trueba et al. 2019 JXBot,https://academic.oup.com/jxb/article/70/12/3227/5421728,,,Zygogynum thieghemii
Cryptocarya aristata,Angiosperm,-2,,Trueba et al. 2016 Plant Cell Env,https://onlinelibrary.wiley.com/doi/full/10.1111/pce.12859?casa_token=gabwwBY4jI8AAAAA%3AAl9jeecj7pVnwXOjbAIvYIcXxz2S29I0sOa6AxAC7P2xXBADoqbRte0KsffsAPSHOHf8306dV8L5Png,,,Cryptocarya aristata
Acer mono,Angiosperm,-4.75,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=354,,,Acer mono
Ginkgo biloba,Gymnosperm,-4.1,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=355,,,Ginkgo biloba
Michelia alba,Angiosperm,-1.75,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=356,,,Michelia alba
Magnolia grandiflora,Angiosperm,-2.5,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=357,,,Magnolia grandiflora
Magnolia liliflora,Angiosperm,-2,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=358,,,Magnolia liliflora
Armeniaca vulgaris,Angiosperm,-5.75,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=361,,,Armeniaca vulgaris
Malus pumila,Angiosperm,-3.2,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=362,,,Malus pumila
Pyracantha fortuneana,Angiosperm,-3.75,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=363,,,Pyracantha fortuneana
Photinia serrulata,Angiosperm,-6.2,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=364,,,Photinia serrulata
Metasequoia glyptostroboides,Gymnosperm,-1.75,,Wang et al. 2018 Fresenius Environmental Bulletin,https://www.researchgate.net/profile/Michal_Napierala2/publication/328693873_Functioning_of_low_lift_pumping_stations_on_polders_-_A_case_study_of_Zagorow_Poland/links/5bf297a1299bf1124fdd5805/Functioning-of-low-lift-pumping-stations-on-polders-A-case-study-of-Zagorow-Poland.pdf#page=366,,,Metasequoia glyptostroboides
Hippophae rhamnoides,Angiosperm,-1.813,,Zhao et al. 2019 Phys Planatarum,https://onlinelibrary.wiley.com/doi/full/10.1111/ppl.13059?casa_token=pEo-qW-C3gMAAAAA%3Acg2n1y3gnFui45HwllNmJc3W1BFTFWQViO7E_ESj5yp1EIJ4JYSbxbdH6G31ypNHT5dkY55wpeJ3NvA,,,Hippophae rhamnoides
Corylus heterophylla,Angiosperm,-2.358,,Zhao et al. 2019 Phys Planatarum,https://onlinelibrary.wiley.com/doi/full/10.1111/ppl.13059?casa_token=pEo-qW-C3gMAAAAA%3Acg2n1y3gnFui45HwllNmJc3W1BFTFWQViO7E_ESj5yp1EIJ4JYSbxbdH6G31ypNHT5dkY55wpeJ3NvA,,,Corylus heterophylla
Anacardium excelsum,Angiosperm,-1.1,4.5,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Anacardium excelsum
Pittoniotis trichantha,Angiosperm,-1.2,3.3,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Antirrhoea trichantha
Hiraea reclinata,Angiosperm,-0.65,1.2,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Hiraea reclinata
Bocoa prouacensis,Angiosperm,-0.85,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Bocoa prouacensis
Dicorynia guianensis,Angiosperm,-0.8,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Dicorynia guianensis
Eperua falcata,Angiosperm,-1.4,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Eperua falcata
Eperua grandiflora,Angiosperm,-0.75,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Eperua grandiflora
Eschweilera sagotiana,Angiosperm,-1,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Eschweilera sagotiana
Jacaranda copaia,Angiosperm,-0.75,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Jacaranda copaia
Lecythis persistens,Angiosperm,-0.7,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Lecythis persistens
Licania alba,Angiosperm,-0.25,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Licania alba
Licania heteromorpha,Angiosperm,-0.65,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Licania heteromorpha
Pradosia cochlearia,Angiosperm,-0.8,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Pradosia cochlearia
Sextonia rubra,Angiosperm,-0.8,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Sextonia rubra
Symphonia globulifera,Angiosperm,-0.8,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Symphonia globulifera
Tachigali melinonii,Angiosperm,-1.1,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Tachigali melinonii
Vouacapoua americana,Angiosperm,-0.55,,De Guzman 2017 PhD Thesis,https://escholarship.org/uc/item/8jw7v5xv,,,Vouacapoua americana
Juniperus flaccida,Gymnosperm,-10.1,,Saenz-Romero et al. 2017 J Plant Hydraulics,https://hal.archives-ouvertes.fr/hal-01445515/document,,,Juniperus flaccida
Juniperus deppeana,Gymnosperm,-9.8,,Saenz-Romero et al. 2017 J Plant Hydraulics,https://hal.archives-ouvertes.fr/hal-01445515/document,,,Juniperus deppeana
Juniperus monticola,Gymnosperm,-10.4,,Saenz-Romero et al. 2017 J Plant Hydraulics,https://hal.archives-ouvertes.fr/hal-01445515/document,,,Juniperus monticola
Picea chihuahuana,Gymnosperm,-3.4,,Saenz-Romero et al. 2017 J Plant Hydraulics,https://hal.archives-ouvertes.fr/hal-01445515/document,,,Picea chihuahuana
Pinus pseudostrobus,Gymnosperm,-2.75,,Saenz-Romero et al. 2017 J Plant Hydraulics,https://hal.archives-ouvertes.fr/hal-01445515/document,,,Pinus pseudostrobus
Pinus leiophylla,Gymnosperm,-3,,Saenz-Romero et al. 2017 J Plant Hydraulics,https://hal.archives-ouvertes.fr/hal-01445515/document,,,Pinus leiophylla
Pinus devoniana,Gymnosperm,-3.2,,Saenz-Romero et al. 2017 J Plant Hydraulics,https://hal.archives-ouvertes.fr/hal-01445515/document,,,Pinus devoniana
Eschweilera tenuifolia,Angiosperm,-2.1,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g9,,,Eschweilera tenuifolia
Licania octandra,Angiosperm,-0.9,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g10,,,Licania octandra
Protium linorum,Angiosperm,-1.3,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g11,,,Protium linorum
Swartzia laevicarpa,Angiosperm,-0.6,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g12,,,Swartzia laevicarpa
Protium divaricatum,Angiosperm,-0.95,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g13,,,Protium divaricatum
Eperua glabriflora,Angiosperm,-1.05,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g14,,,Eperua glabriflora
Eschweilera coriacea,Angiosperm,-1.75,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g15,,,Eschweilera coriaceae
Protium hebetatum,Angiosperm,-1.25,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g16,,,Protium hebetatum
Swartzia reticulata,Angiosperm,-1.65,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g17,,,Swartzia reticulata
Couepia longipendula,Angiosperm,-2.6,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g18,,,Couepia longipendula
Pouteria anomala,Angiosperm,-1.8,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g19,,,Pouteria anomala
Pouteria erythrochrysa,Angiosperm,-1.95,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g20,,,Pouteria eryhtrocrysa
Sacoglottis guianensis,Angiosperm,-1.7,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g21,,,Sacoglottis guianensis
Eschweilera bracteosa,Angiosperm,-2.05,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g22,,,Eschweilera bracteosa
Licania sp.,Angiosperm,-1.45,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g23,,,Licania sp.
Swartzia acuminata,Angiosperm,-1.48,,Fontes 2019 PhD Thesis UC Berkely,https://escholarship.org/uc/item/6jr828g24,,,Swartzia acuminata
Picea crassifolia,Gymnosperm,-3.21,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea crassifolia
Picea asperata,Gymnosperm,-2.71,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea asperata
Picea meyeri,Gymnosperm,-2.83,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea meyeri
Picea koraiensis,Gymnosperm,-2.63,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea koraiensis
Picea wilsonii,Gymnosperm,-3.18,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea wilsonii
Picea spinulosa,Gymnosperm,-0.58,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea spinulosa
Picea likiangensis,Gymnosperm,-1.77,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea likiangensis var. likiangensis
Picea likiangensis,Gymnosperm,-2.66,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea likiangensis var. rubescens
Picea likiangensis,Gymnosperm,-2.37,,Wang et al. 2018 Dendobiology,https://pdfs.semanticscholar.org/c60d/91398caa150a4cb147370092a09202243035.pdf,,,Picea likiangensis var. linzhiensis
Weinmannia fagaroides,Angiosperm,-3.39,,Tack 2019 MS Thesis Ghent Univ,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,,,Weinmannia fagaroides
Jungia coarctata,Angiosperm,-8,,Tack 2019 MS Thesis Ghent Univ,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,,,Jungia coarctata
Araucaria angustifolia,Gymnosperm,-2.33,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331190,,,Araucaria angustifolia
Calyptranthes brasiliensis,Angiosperm,-5.18,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331191,,,Calyptranthes brasiliensis
Croton celtidifolius,Angiosperm,-1.84,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331192,,,Croton celtidifolius
Drimys brasiliensis,Angiosperm,-1.9,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331193,,,Drimys brasiliensis
Eugenia sp.,Angiosperm,-5.4,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331194,,,Eugenia sp.
Euplassa itatiaiae,Angiosperm,-3.13,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331195,,,Euplassa itatiaiae
Ilex taubertiana,Angiosperm,-2.62,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331196,,,Ilex taubertiana
Myrceugenia cucullata,Angiosperm,-2.86,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331197,,,Myrceugenia cucullata
Myrceugenia ovalifolia,Angiosperm,-3.28,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331198,,,Myrceugenia ovalifolia
Myrceugenia regnelliana,Angiosperm,-5.68,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331199,,,Myrceugenia regnelliana
Macropeplus dentatus,Angiosperm,-3.38,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331200,,,Macropeplus dentatus
Miconia cinerascens,Angiosperm,-5.09,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331201,,,Miconia cinerascens
Psychotria vellosiana,Angiosperm,,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331202,,,Psychotria vellosiana
Symplocos falcata,Angiosperm,-2.54,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331203,,,Symplocos falcata
Tabebuia vellosoi,Angiosperm,-2.41,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331204,,,Tabebuia vellosoi
Weinmannia organensis,Angiosperm,-2.28,,Barros 2017 Phd Thesis Univ Capinas,http://repositorio.unicamp.br/handle/REPOSIP/331205,,,Weinmannia organensis
Manilkara elata,Angiosperm,-1.75,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333186,,,Manilkara elata
Erisma uncinatum,Angiosperm,-2.05,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333187,,,Erisma uncinatum
Endopleura uchi,Angiosperm,-1.6,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333188,,,Endopleura uchi
Mezilaurus itauba,Angiosperm,-3,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333189,,,Mezilaurus itauba
Tachigali chrysophylla,Angiosperm,-3.75,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333190,,,Tachigali chrysophylla
Chamaecrista xinguensis,Angiosperm,-3.1,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333191,,,Chamaecrista xinguensis
Protium apiculatum,Angiosperm,-2,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333192,,,Protium apiculatum
Coussarea albescens,Angiosperm,-4.5,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333193,,,Coussarea albescens
Miconia sp.,Angiosperm,-4.9,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333194,,,Miconia sp.
Amphirrhox longifolia,Angiosperm,-2.2,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333195,,,Amphirrhox longifolia
Rinorea pubiflora,Angiosperm,-3,,Monteiro Junior 2018 Thesis Univ Campinas,http://repositorio.unicamp.br/handle/REPOSIP/333196,,,Rinorea pubiflora
Fagus sylvatica,Angiosperm,-2.2,,Rosas et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15684?casa_token=S5YY9nXqGzQAAAAA%3A-oi_pJc4n59ISjdUc3UXAD-ryKKjS_R7uj5SVAjPjwt59lkAjhCuyEMZ6oz-zAGzEsxV1ufh8THbWf8,,,Fagus sylvatica
Quercus ilex,Angiosperm,-3.75,,Rosas et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15684?casa_token=S5YY9nXqGzQAAAAA%3A-oi_pJc4n59ISjdUc3UXAD-ryKKjS_R7uj5SVAjPjwt59lkAjhCuyEMZ6oz-zAGzEsxV1ufh8THbWf9,,,Quercus ilex
Quercus pubescens,Angiosperm,-2,,Rosas et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15684?casa_token=S5YY9nXqGzQAAAAA%3A-oi_pJc4n59ISjdUc3UXAD-ryKKjS_R7uj5SVAjPjwt59lkAjhCuyEMZ6oz-zAGzEsxV1ufh8THbWf10,,,Quercus pubescens
